team	GF	GA	SF	SA
Edmonton Oilers	2.963	2.524	31.061	29.463
Vancouver Canucks	2.171	2.939	27.720	31.768
Los Angeles Kings	2.427	2.451	31.134	25.854
Anaheim Ducks	2.683	2.402	29.573	29.622
Washington Capitals	3.183	2.159	30.427	27.829
Florida Panthers	2.500	2.817	32.244	31.646
Carolina Hurricanes	2.585	2.805	30.402	28.293
Philadelphia Flyers	2.585	2.817	31.524	28.463
Pittsburgh Penguins	3.390	2.793	33.476	32.573
New York Rangers	3.085	2.634	29.732	30.061
St. Louis Blues	2.841	2.634	28.415	28.378
Colorado Avalanche	2.012	3.366	28.085	31.744
Columbus Blue Jackets	3.012	2.354	30.976	30.354
Toronto Maple Leafs	3.049	2.854	31.915	32.598
New York Islanders	2.915	2.902	30.244	31.902
Ottawa Senators	2.512	2.561	30.037	30.085
Buffalo Sabres	2.427	2.817	30.378	34.305
Tampa Bay Lightning	2.805	2.732	29.902	30.390
Detroit Red Wings	2.415	2.976	28.476	30.573
New Jersey Devils	2.195	2.939	27.793	31.366
Chicago Blackhawks	2.927	2.585	30.585	31.390
San Jose Sharks	2.671	2.439	29.915	27.671
Calgary Flames	2.707	2.671	29.122	28.707
Minnesota Wild	3.207	2.512	30.817	30.061
Arizona Coyotes	2.329	3.146	27.817	34.110
Dallas Stars	2.707	3.171	30.549	29.744
Nashville Predators	2.902	2.683	31.183	30.146
Winnipeg Jets	3.000	3.110	29.854	31.049
Montreal Canadiens	2.720	2.415	29.988	29.622
Boston Bruins	2.829	2.549	33.183	26.756
